Feature ID	2M-Total	4M-Total	6m-Total	2M-HS-Total	4M-HS-Total	6M-HS-Total
CGI_10002524	160	364	91	330	3	4
CGI_10002525	9	8	2	11	1	0
CGI_10002526	601	435	542	535	135	203
CGI_10002527	75	42	51	35	6	1
CGI_10002528	111	79	66	81	15	2
CGI_10002529	258	103	68	1300	324	805
CGI_10002530	1	2	0	0	0	0
CGI_10002531	50	38	20	125	61	14
CGI_10002532	48	20	18	45	34	19
CGI_10002533	57	32	37	79	59	32
CGI_10002534	7	3	7	16	6	5
CGI_10002535	0	0	0	0	0	0
CGI_10002536	0	0	0	0	0	0
CGI_10002537	0	0	0	0	0	0
CGI_10002538	21	29	20	18	34	3
CGI_10002539	0	0	0	0	0	0
CGI_10002540	0	0	0	0	0	0
CGI_10002541	1401	377	784	1153	175	331
CGI_10002542	162	197	92	58	31	14
CGI_10002543	2	2	3	6	1	0
CGI_10002545	470	322	561	384	156	124
CGI_10002546	40	30	24	123	30	11
CGI_10002547	566	545	580	653	301	211
CGI_10002548	362	145	177	404	115	72
CGI_10002549	12	13	9	10	18	14
CGI_10002550	51	26	27	50	28	21
CGI_10002551	1	0	0	0	0	0
CGI_10002552	0	0	0	1	0	0
CGI_10002553	35	43	17	53	26	17
CGI_10002554	0	0	1	0	0	1
CGI_10002555	12	4	2	11	47	0
CGI_10002556	198	156	124	233	63	41
CGI_10002557	15	18	8	21	2	0
CGI_10002558	89	80	4	7	13	2
CGI_10002559	0	0	2	2	0	0
CGI_10002560	8	7	1	4	1	0
CGI_10002561	0	0	0	0	0	0
CGI_10002562	0	0	0	0	0	0
CGI_10002563	84	66	67	117	44	32
CGI_10002564	227	227	121	386	237	190
CGI_10002565	0	0	1	2	0	1
CGI_10002566	156	148	123	96	61	87
CGI_10002567	1036	985	941	773	501	529
CGI_10002568	1685	1154	2324	3248	1049	1112
CGI_10002569	0	0	0	0	0	0
CGI_10002570	44	20	136	155	2	53
CGI_10002571	26	3	12	3	0	0
CGI_10002572	170	87	108	224	48	19
CGI_10002573	40	8	8	45	14	13
CGI_10002574	0	0	0	0	0	2
CGI_10002575	0	0	0	0	0	2
CGI_10002576	1	2	2	0	0	12
CGI_10002577	9	11	4	1	3	5
CGI_10002578	0	0	0	0	0	0
CGI_10002579	2	0	2	4	0	19
CGI_10002580	10	4	9	0	2	7
CGI_10002581	6	16	4	9	17	2
CGI_10002582	134	150	126	155	193	257
CGI_10002583	9	28	5	14	29	7
CGI_10002584	820	888	622	599	154	178
CGI_10002585	47	70	29	40	42	15
CGI_10002586	69	100	46	102	90	47
CGI_10002587	145	22	82	243	12	58
CGI_10002588	0	0	1	0	0	0
CGI_10002589	368	113	590	891	159	538
CGI_10002590	458	317	273	367	303	215
CGI_10002591	0	0	1	0	0	0
CGI_10002592	1489	1076	935	1353	682	395
CGI_10002593	110	92	84	131	26	21
CGI_10002594	3815	3966	1946	26709	91702	34989
CGI_10002595	65	355	448	19	4	16
CGI_10002596	0	0	0	0	0	0
CGI_10002597	14	2	11	4	6	2
CGI_10002598	20	6	21	4	5	11
CGI_10002599	81	39	34	171	47	29
CGI_10002600	35	15	19	57	40	9
CGI_10002601	3	4	0	3	6	0
CGI_10002602	4	2	6	2	2	2
CGI_10002603	438	106	189	249	73	275
CGI_10002604	178	59	61	204	58	39
CGI_10002605	107	19	4	34	3	5
CGI_10002606	7	6	50	8	4	24
CGI_10002607	16	29	25	13	50	21
CGI_10002608	164	230	109	117	37	42
CGI_10002609	2	2	5	25	36	7
CGI_10002610	28	24	19	56	22	4
CGI_10002611	0	0	0	1	3	0
CGI_10002612	23	5	6	12	11	3
CGI_10002613	17	11	17	10	17	9
CGI_10002614	3	4	13	17	1	7
CGI_10002615	1	3	3	4	8	2
CGI_10002616	0	3	0	1	2	2
CGI_10002617	302	255	252	190	92	53
CGI_10002618	8	3	5	3	16	8
CGI_10002619	137	82	77	145	68	50
CGI_10002620	233	230	145	290	61	61
CGI_10002621	61	42	15	99	30	29
CGI_10002622	1	4	0	4	3	1
CGI_10002623	1	0	0	1	0	2
CGI_10002624	0	0	0	0	0	0
CGI_10002625	199	107	108	318	97	73
CGI_10002626	15	17	28	41	113	81
CGI_10002627	999	838	694	1690	776	686
CGI_10002628	1	1	2	5	1	2
CGI_10002629	204	374	153	411	309	64
CGI_10002630	10	2	4	11	6	4
CGI_10002631	308	163	231	168	35	37
CGI_10002632	7	1	9	4	5	2
CGI_10002633	0	0	0	1	0	2
CGI_10002634	6	5	2	9	2	1
CGI_10002635	0	0	0	0	0	0
CGI_10002636	14	36	36	35	48	183
CGI_10002637	4	18	2	16	29	11
CGI_10002638	11	21	3	24	5	1
CGI_10002639	41	35	14	63	37	28
CGI_10002640	147	124	123	356	452	281
CGI_10002641	538	358	273	1096	848	392
CGI_10002642	32	40	45	33	14	18
CGI_10002643	13	10	25	4	7	5
CGI_10002644	309	275	171	529	175	170
CGI_10002645	424	191	212	672	166	250
CGI_10002646	187	295	239	106	39	6
CGI_10002647	380	127	314	448	117	84
CGI_10002648	4	3	3	2	2	2
CGI_10002649	205	127	133	176	26	26
CGI_10002650	60	38	52	77	14	19
CGI_10002651	107	88	99	34	9	14
CGI_10002652	14	28	19	20	68	26
CGI_10002653	50	39	20	88	33	22
CGI_10002654	955	1033	546	362	191	99
CGI_10002655	115	66	90	95	18	34
CGI_10002656	9	6	3	7	0	0
CGI_10002657	14272	17195	15411	409	47	804
CGI_10002658	381	481	924	988	1034	673
CGI_10002659	408	359	322	395	150	148
CGI_10002660	0	0	12	8	1	5
CGI_10002661	288	183	227	329	78	82
CGI_10002662	223	98	77	384	224	133
CGI_10002663	38	56	16	71	11	3
CGI_10002664	9	7	13	44	5	7
CGI_10002665	4	1	24	1	8	35
CGI_10002666	217	78	135	369	239	133
CGI_10002667	90	25	38	86	10	6
CGI_10002668	79	16	66	41	43	96
CGI_10002669	0	0	0	0	0	0
CGI_10002670	2	1	0	0	1	0
CGI_10002671	9	12	43	10	17	38
CGI_10002672	85	65	34	78	51	16
CGI_10002673	163	66	66	126	58	76
CGI_10002674	14	0	1	5	9	2
CGI_10002675	15	19	4	53	23	11
CGI_10002677	17	15	20	31	19	32
CGI_10002678	33	55	25	23	34	26
CGI_10002679	13	9	17	7	8	9
CGI_10002680	0	1	0	0	2	0
CGI_10002681	120	99	199	121	58	189
CGI_10002682	24	28	7	21	21	2
CGI_10002683	0	0	0	0	0	0
CGI_10002684	0	0	0	0	0	0
CGI_10002685	22	8	22	10	8	5
CGI_10002686	224	144	119	164	32	34
CGI_10002687	461	322	270	336	75	27
CGI_10002688	6	18	5	21	8	5
CGI_10002689	2676	1920	1337	2148	872	630
CGI_10002690	61	59	113	157	109	156
CGI_10002691	27	35	26	18	13	14
CGI_10002692	1	0	0	0	0	1
CGI_10002693	546	241	243	544	495	341
CGI_10002694	76	53	62	75	53	80
CGI_10002695	183	134	76	97	46	30
CGI_10002696	43	24	38	70	41	34
CGI_10002697	16	10	10	16	4	1
CGI_10002698	100	47	47	155	48	41
CGI_10002699	16	13	7	20	2	0
CGI_10002700	10	6	16	32	18	25
CGI_10002701	356	265	176	219	97	41
CGI_10002702	120	38	39	68	20	14
CGI_10002703	99	147	56	40	8	5
CGI_10002704	210	268	180	243	132	79
CGI_10002705	25	18	4	19	11	5
CGI_10002706	121	101	57	138	41	42
CGI_10002707	49	65	55	53	47	37
CGI_10002708	121	78	107	133	85	87
CGI_10002709	41	19	34	49	37	14
CGI_10002710	2	7	0	0	14	0
CGI_10002711	5	10	17	9	2	10
CGI_10002712	1	5	0	0	1	0
CGI_10002713	35	38	18	25	20	13
CGI_10002714	46	14	9	20	9	5
CGI_10002715	3572	3485	2844	5678	8618	3921
CGI_10002717	231	170	126	94	17	16
CGI_10002718	56	11	20	107	26	13
CGI_10002719	211	70	303	190	58	83
CGI_10002721	8	0	4	4	0	0
CGI_10002722	52	233	73	4	7	1
CGI_10002723	577	395	689	619	701	589
CGI_10002724	0	1	1	0	3	1
CGI_10002725	69	81	39	118	21	12
CGI_10002726	209	300	138	359	194	104
CGI_10002727	17	23	1	13	20	7
CGI_10002728	53	44	18	10	13	4
CGI_10002729	147	103	53	176	47	13
CGI_10002730	8	8	459	4	11	16
CGI_10002731	56	31	15	87	38	54
CGI_10002732	7	7	5	14	12	4
CGI_10002733	148	109	89	251	99	72
CGI_10002734	15	0	3	21	13	2
CGI_10002735	7	2	7	4	3	0
CGI_10002737	242	550	216	190	174	61
CGI_10002738	15	37	27	33	208	53
CGI_10002739	0	0	0	0	0	0
CGI_10002740	1	5	0	0	4	0
CGI_10002741	0	0	0	0	0	0
CGI_10002742	234	189	117	427	205	160
CGI_10002743	177	117	112	319	174	177
CGI_10002744	13	6	9	16	4	3
CGI_10002746	4	6	7	3	6	2
CGI_10002747	0	0	0	2	0	0
CGI_10002748	110	89	71	116	122	89
CGI_10002749	189	160	156	125	35	30
CGI_10002750	51	46	43	67	35	23
CGI_10002751	146	88	67	228	240	89
CGI_10002752	68	42	78	38	18	29
CGI_10002753	69	40	15	57	133	36
CGI_10002754	152	177	177	184	49	51
CGI_10002755	48	35	26	42	11	6
CGI_10002756	1024	508	600	448	61	61
CGI_10002757	328	251	189	202	104	72
CGI_10002758	34	23	38	45	39	22
CGI_10002759	1	0	1	0	0	1
CGI_10002760	20	17	13	42	34	32
CGI_10002761	0	0	0	0	2	0
CGI_10002762	58	43	23	96	51	30
CGI_10002763	76	106	155	96	78	35
CGI_10002764	3	3	0	2	1	1
CGI_10002765	0	0	0	0	0	0
CGI_10002766	111	51	12	53	25	12
CGI_10002767	115	203	45	212	15	9
CGI_10002768	150	166	98	241	271	277
CGI_10002769	1	2	5	0	0	6
CGI_10002770	0	0	0	0	0	0
CGI_10002771	0	0	0	0	0	0
CGI_10002772	9	0	0	10	2	3
CGI_10002773	3	1	0	5	0	1
CGI_10002774	3058	1819	1775	1238	318	610
CGI_10002775	6	6	6	0	10	18
CGI_10002776	2	1	3	1	0	1
CGI_10002777	6	2	1	1	0	1
CGI_10002778	4	6	6	23	8	4
CGI_10002779	12	18	4	35	1	3
CGI_10002780	119	92	104	313	63	42
CGI_10002781	57	53	59	29	37	59
CGI_10002782	40	9	9	18	1	1
CGI_10002783	122	105	90	86	65	56
CGI_10002784	68	18	65	107	35	21
CGI_10002785	0	0	0	0	0	0
CGI_10002786	2671	490	716	2780	926	906
CGI_10002787	73	30	21	31	8	2
CGI_10002788	66	76	85	45	29	24
CGI_10002789	288	235	177	366	83	51
CGI_10002790	907	592	832	918	722	487
CGI_10002791	56	82	87	66	104	74
CGI_10002792	22	31	22	18	20	58
CGI_10002793	59	16	28	15	2	5
CGI_10002794	36	31	30	51	31	12
CGI_10002795	102	171	61	101	142	70
CGI_10002796	30	45	16	28	50	4
CGI_10002797	2	3	0	3	3	0
CGI_10002798	506	315	322	458	288	237
CGI_10002799	325	221	209	406	229	227
CGI_10002800	42	2	19	11	4	10
CGI_10002801	1	0	0	0	1	0
CGI_10002802	0	0	0	0	0	0
CGI_10002803	0	0	0	0	0	1
CGI_10002804	9	4	5	15	0	1
CGI_10002805	85	32	24	67	11	7
CGI_10002806	186	219	105	169	68	27
CGI_10002807	202	134	47	198	79	62
CGI_10002808	38	178	94	15	74	33
CGI_10002809	1	4	1	3	7	1
CGI_10002810	20	19	21	19	27	19
CGI_10002811	1098	660	520	1038	202	188
CGI_10002812	387	405	826	1187	419	650
CGI_10002813	0	33	4	28	3	2
CGI_10002814	28	249	46	247	96	17
CGI_10002815	41	37	29	21	9	5
CGI_10002816	44	36	42	31	29	15
CGI_10002817	685	558	500	520	160	131
CGI_10002818	0	3	0	0	2	0
CGI_10002819	6	1	2	23	0	5
CGI_10002820	55	26	13	62	24	11
CGI_10002821	0	0	0	0	0	0
CGI_10002822	0	0	2	0	0	0
CGI_10002823	262	51	118	9155	13059	7221
CGI_10002824	8	0	3	3	1	0
CGI_10002825	7	0	0	3	0	7
CGI_10002826	35	19	17	74	38	33
CGI_10002827	418	38	243	256	6	45
CGI_10002828	0	1	0	0	0	3
CGI_10002829	102	7	69	182	16	167
CGI_10002830	317	272	76	102	58	24
CGI_10002831	2	3	5	2	4	1
CGI_10002832	20	50	15	19	45	19
CGI_10002833	18	4	12	27	3	4
CGI_10002834	2283	849	1119	1087	820	2019
CGI_10002835	415	294	203	360	50	32
CGI_10002836	37	25	23	16	11	4
CGI_10002837	30	2	1	23	0	0
CGI_10002838	5	6	7	2	4	3
CGI_10002839	8	7	5	4	6	7
CGI_10002840	33	30	43	26	22	33
CGI_10002841	1053	1036	1825	844	465	824
CGI_10002842	4476	3880	10	3637	4032	20
CGI_10002843	2	2	1	0	1	1
CGI_10002844	2	5	10	0	0	1
CGI_10002845	90	42	79	165	80	73
CGI_10002846	3	1	1	2	16	4
CGI_10002847	3	1	0	3	7	3
CGI_10002848	66	68	42	57	42	31
CGI_10002849	271	247	205	328	154	170
CGI_10002850	0	0	0	0	0	0
CGI_10002851	0	0	0	0	0	0
CGI_10002852	178	187	115	97	61	25
CGI_10002853	283	300	214	239	117	53
CGI_10002854	1	0	0	0	0	0
CGI_10002855	1	1	0	0	0	1
CGI_10002856	1	1	1	2	0	0
CGI_10002857	45	25	46	25	16	8
CGI_10002858	1	0	0	0	0	0
CGI_10002859	31	15	17	8	2	1
CGI_10002860	316	75	179	424	71	76
CGI_10002861	168	219	444	290	176	447
CGI_10002862	332	269	116	600	179	105
CGI_10002863	145	121	82	173	151	82
CGI_10002864	283	296	179	359	334	151
CGI_10002865	74	97	20	161	90	24
CGI_10002866	169	133	109	115	29	28
CGI_10002867	24	65	13	62	18	7
CGI_10002868	44	42	27	33	24	5
CGI_10002869	43	16	40	12	18	7
CGI_10002870	112	90	29	112	39	19
CGI_10002871	2	0	5	3	69	0
CGI_10002872	35	18	28	31	54	21
CGI_10002873	425	483	203	490	199	105
CGI_10002874	26	26	17	45	32	3
CGI_10002875	60	20	0	43	5	0
CGI_10002876	5	5	8	9	8	6
CGI_10002877	17	13	15	19	4	4
CGI_10002878	550	354	343	603	186	219
CGI_10002879	403	2255	308	564	601	235
CGI_10002880	325	4877	1267	22	2	0
CGI_10002881	3722	2917	2716	2790	848	588
CGI_10002882	0	0	0	0	3	0
CGI_10002883	0	0	0	0	0	1
CGI_10002884	0	0	0	0	1	0
CGI_10002885	0	0	0	0	0	0
CGI_10002886	40	13	24	21	8	19
CGI_10002887	305	294	132	235	218	155
CGI_10002889	27	9	14	81	3	11
CGI_10002890	51	238	124	61	142	90
CGI_10002891	21	25	9	45	25	6
CGI_10002892	95	71	79	144	24	59
CGI_10002893	56	31	74	74	26	26
CGI_10002894	91	60	38	100	21	4
CGI_10002895	9	4	7	26	10	9
CGI_10002896	67	28	120	10	5	7
CGI_10002897	4	2	2	6	9	2
CGI_10002898	103	75	42	127	33	16
CGI_10002899	464	211	210	670	146	54
CGI_10002900	86	53	59	108	29	13
CGI_10002901	127	27	101	123	63	96
CGI_10002902	0	0	2	0	1	1
CGI_10002904	90	14	50	61	15	53
CGI_10002905	176	155	108	84	32	21
CGI_10002906	5	111	6	7	14	6
CGI_10002907	39	61	15	38	9	19
CGI_10002908	1	92	1	0	7	0
CGI_10002909	247	130	109	261	135	145
CGI_10002910	791	512	321	568	214	159
CGI_10002911	0	6	2	2	1	0
CGI_10002912	110	103	85	53	63	69
CGI_10002913	204	86	747	283	671	426
CGI_10002914	70	66	40	88	53	29
CGI_10002915	19	5	10	48	91	68
CGI_10002916	558	399	405	973	298	416
CGI_10002917	1012	934	671	1443	704	604
CGI_10002918	67	55	13	84	27	24
CGI_10002919	16633	14368	15735	12438	15800	12015
CGI_10002920	393	279	274	373	299	229
CGI_10002921	270	318	190	228	38	15
CGI_10002922	1600	1369	1167	1634	594	566
CGI_10002923	502	256	407	643	282	150
CGI_10002924	446	317	380	353	235	428
CGI_10002925	361	330	401	202	129	171
CGI_10002926	1329	65	1085	686	31	526
CGI_10002927	5	8	7	12	2	1
CGI_10002928	31	11	17	13	9	8
CGI_10002929	63	46	34	50	32	47
CGI_10002933	2	0	0	0	0	0
CGI_10002936	0	5	0	0	0	0
CGI_10002937	29	15	17	51	26	4
CGI_10002938	279	168	245	303	247	386
CGI_10002939	372	298	180	70	17	36
CGI_10002940	68	31	36	113	43	33
CGI_10002941	26	20	15	31	4	14
CGI_10002942	5	14	1	3	1	2
CGI_10002943	458	392	567	306	214	146
CGI_10002944	1	1	0	2	2	1
CGI_10002945	59	53	33	7	5	0
CGI_10002946	1202	847	904	430	268	500
CGI_10002947	319	184	106	639	169	53
CGI_10002948	0	0	0	0	0	1
CGI_10002949	175	133	153	479	435	125
CGI_10002950	2991	1308	1862	7793	27662	16594
CGI_10002951	1363	721	1113	260	180	377
CGI_10002952	1	4	2	1	0	0
CGI_10002953	3	7	2	0	1	3
CGI_10002954	3	6	1	1	0	0
CGI_10002955	0	0	0	0	0	0
CGI_10002956	2	0	2	0	0	0
CGI_10002957	3	19	4	3	5	3
CGI_10002958	2	9	2	1	0	0
CGI_10002959	22	39	67	29	33	62
CGI_10002960	1	1	1	0	0	12
CGI_10002961	27	34	29	15	42	27
CGI_10002962	2	2	0	3	2	2
CGI_10002963	56	52	50	66	50	93
CGI_10002964	133	278	169	170	130	125
CGI_10002965	30	21	34	15	16	42
CGI_10002966	0	0	0	0	0	0
CGI_10002967	0	0	1	0	0	0
CGI_10002968	69	20	33	85	16	52
CGI_10002969	0	1	0	0	0	0
CGI_10002970	88	49	61	84	22	27
CGI_10002971	79	49	12	126	49	34
CGI_10002972	215	56	106	322	72	113
CGI_10002973	21	7	9	15	10	7
CGI_10002974	10	24	8	22	3	4
CGI_10002975	396	338	301	351	191	160
CGI_10002976	80	90	85	73	83	32
CGI_10002977	12	6	4	3	1	0
CGI_10002978	6	2	1	3	3	0
CGI_10002979	40	91	26	49	10	2
CGI_10002980	51	42	22	38	9	3
CGI_10002981	147	132	80	115	28	8
CGI_10002982	86	9	15	30	1	8
CGI_10002983	91	23	33	41	18	11
CGI_10002984	139	115	105	60	10	8
CGI_10002985	214	174	151	111	65	65
CGI_10002986	73	81	69	136	52	36
CGI_10002987	127	161	51	204	85	40
CGI_10002988	68	63	72	68	45	26
CGI_10002989	54	34	44	67	31	25
CGI_10002990	203	136	122	203	58	30
CGI_10002991	5	3	1	0	0	0
CGI_10002992	329	523	220	374	91	60
CGI_10002993	0	0	0	0	4	0
CGI_10002994	335	441	215	377	116	91
CGI_10002995	345	208	157	813	284	190
CGI_10002996	2	3	9	2	2	0
CGI_10002997	123	8	256	128	10	128
CGI_10002998	512	267	614	399	105	192
CGI_10002999	289	176	286	555	73	101
CGI_10003000	2011	136	1182	304	146	53
CGI_10003001	120	193	110	150	231	72
CGI_10003002	1	0	1	0	0	0
CGI_10003003	3	1	0	4	1	0
CGI_10003004	24	85	14	84	384	12
CGI_10003005	5	777	16	9	933	10
CGI_10003006	9	16	15	4	5	0
CGI_10003007	353	216	120	286	25	24
CGI_10003008	266	112	288	182	108	121
CGI_10003010	478	693	409	33	19	20
CGI_10003011	6	10	8	6	9	5
CGI_10003012	11	14	12	17	27	15
CGI_10003013	201	209	77	156	38	10
CGI_10003014	18	24	26	58	30	23
CGI_10003015	23	2	1	10	9	0
CGI_10003016	55	90	57	82	15	8
CGI_10003017	58	37	55	119	39	34
CGI_10003019	13	15	2	170	39	11
CGI_10003020	12	3	2	6	1	0
CGI_10003021	94	156	96	87	43	36
CGI_10003022	245	220	137	58	10	7
CGI_10003023	8	9	4	0	6	5
CGI_10003024	1	0	0	0	0	0
CGI_10003025	1453	1169	1141	956	660	354
CGI_10003026	167	109	48	368	109	15
CGI_10003027	1	0	0	2	1	1
CGI_10003028	190	147	117	253	266	113
CGI_10003029	7	2	2	3	6	0
CGI_10003030	0	0	0	0	0	0
CGI_10003031	144	134	107	111	45	24
CGI_10003032	63	28	76	33	8	34
CGI_10003033	0	0	0	0	0	0
CGI_10003034	29	25	13	60	38	22
CGI_10003035	35	23	15	59	49	9
CGI_10003036	0	0	0	0	0	0
CGI_10003037	0	2	2	0	1	0
CGI_10003038	0	1	1	0	0	0
CGI_10003039	9	12	14	13	7	8
CGI_10003040	0	0	0	0	0	0
CGI_10003041	10	23	3	2	10	0
CGI_10003042	11	2	10	13	8	5
CGI_10003043	2292	1569	1836	1643	1537	484
CGI_10003044	75	28	13	130	30	15
CGI_10003045	2	0	0	0	0	0
CGI_10003046	0	0	0	0	0	0
CGI_10003047	47	60	17	93	50	25
CGI_10003048	37	21	33	33	44	24
CGI_10003049	3753	197	894	746	300	202
CGI_10003050	381	299	322	340	102	72
CGI_10003051	2266	1631	1758	1710	1370	844
CGI_10003053	38	35	16	62	19	28
CGI_10003054	2	4	0	0	0	1
CGI_10003055	156	101	34	224	66	87
CGI_10003056	265	194	178	349	209	203
CGI_10003057	134	140	220	116	76	134
CGI_10003058	833	724	608	521	134	78
CGI_10003059	200	157	118	308	118	117
CGI_10003060	5	3	10	5	3	6
CGI_10003061	0	3	5	1	3	0
CGI_10003062	6	10	16	2	4	0
CGI_10003063	108	159	41	162	166	58
CGI_10003064	59	66	71	96	115	46
CGI_10003065	28	26	21	44	24	16
CGI_10003066	225	257	143	212	76	53
CGI_10003067	9	50	21	15	25	2
CGI_10003068	104	73	57	125	76	48
CGI_10003069	516	362	446	479	265	239
CGI_10003070	5	1	0	11	2	3
CGI_10003071	100	32	74	86	30	38
CGI_10003072	11980	9638	12724	9777	13498	9578
CGI_10003073	30	15	37	0	2	3
CGI_10003074	0	3	1	0	1	0
CGI_10003075	0	0	2	0	0	0
CGI_10003076	221	184	126	244	47	35
CGI_10003077	21	40	20	21	26	23
CGI_10003078	8	8	19	22	29	30
CGI_10003079	1120	1045	1137	691	406	369
CGI_10003080	22	43	48	27	43	34
CGI_10003081	8	8	5	3	2	0
CGI_10003082	121	100	40	190	62	28
CGI_10003083	2488	2272	2080	713	237	458
CGI_10003085	77	96	45	50	29	12
CGI_10003086	1988	1708	1146	1071	724	355
CGI_10003087	236	63	94	355	168	141
CGI_10003088	0	1	0	0	1	0
CGI_10003089	26	1	16	11	6	17
CGI_10003090	71	11	42	65	16	53
CGI_10003091	7	1	1	8	7	2
CGI_10003092	249	217	239	215	39	22
CGI_10003093	2	7	0	4	3	3
CGI_10003094	135	121	87	211	86	44
CGI_10003095	43	64	37	55	7	6
CGI_10003096	25	39	29	21	10	10
CGI_10003097	355	307	199	172	187	90
CGI_10003098	234	209	53	239	203	97
CGI_10003099	17	22	40	6	1	1
CGI_10003100	354	308	448	251	482	391
CGI_10003101	200	128	129	145	85	193
CGI_10003102	23	3	19	12	0	29
CGI_10003103	66	60	27	59	19	6
CGI_10003104	297	222	232	478	286	203
CGI_10003105	120	116	89	227	60	51
CGI_10003107	468	524	271	369	68	60
CGI_10003108	0	0	0	0	0	0
CGI_10003109	25	14	28	26	47	25
CGI_10003110	5867	4717	3916	4517	1506	1022
CGI_10003111	54	26	56	93	27	24
CGI_10003112	131	57	63	104	45	56
CGI_10003113	28	15	15	33	23	10
CGI_10003114	0	0	0	0	0	0
CGI_10003115	0	0	2	0	1	0
CGI_10003117	203	95	151	66	6	10
CGI_10003118	103	45	80	72	57	48
CGI_10003119	8	21	16	18	25	14
CGI_10003120	124	108	65	179	120	119
CGI_10003121	329	570	377	953	517	344
CGI_10003122	24	37	21	38	11	16
CGI_10003123	11	7	5	9	5	3
CGI_10003124	67	58	44	42	28	10
CGI_10003125	69	56	33	57	27	16
CGI_10003126	363	350	173	351	414	152
CGI_10003127	0	0	2	0	0	0
CGI_10003128	31	29	10	29	25	24
CGI_10003129	0	0	0	0	0	0
CGI_10003130	364	224	305	507	300	201
CGI_10003131	327	270	244	147	58	57
CGI_10003132	92	83	80	23	11	44
CGI_10003133	76	30	21	210	82	68
CGI_10003134	786	277	369	370	172	30
CGI_10003135	5	10	10	11	6	9
CGI_10003136	1	0	0	0	1	0
CGI_10003137	330	175	208	342	91	115
CGI_10003138	382	573	606	209	159	171
CGI_10003139	219	158	120	303	117	101
CGI_10003140	6	2	2	27	8	6
CGI_10003141	268	229	196	307	149	139
CGI_10003142	84	55	51	218	45	40
CGI_10003143	369	305	280	309	205	109
CGI_10003144	41	32	61	85	85	91
CGI_10003145	545	409	298	454	153	81
CGI_10003146	741	995	1525	456	442	378
CGI_10003147	2	0	3	2	6	2
CGI_10003148	0	4	1	3	2	0
CGI_10003149	1085	448	654	388	420	237
CGI_10003150	37	38	39	30	22	22
CGI_10003151	352	159	480	262	119	238
CGI_10003152	4	0	0	14	6	0
CGI_10003153	52	33	42	21	14	11
CGI_10003154	445	145	107	466	24	15
CGI_10003155	0	0	0	0	0	1
CGI_10003156	65	78	37	131	66	34
CGI_10003157	54	29	38	148	47	20
CGI_10003158	177	178	114	231	139	111
CGI_10003160	454	510	388	232	53	122
CGI_10003161	4	12	7	2	11	0
CGI_10003162	45	30	25	108	53	28
CGI_10003163	342	302	369	223	339	324
CGI_10003164	125	107	90	73	37	24
CGI_10003165	36	29	7	54	7	11
CGI_10003166	0	0	0	0	0	0
CGI_10003167	3	3	1	1	3	13
CGI_10003168	0	0	0	0	0	0
CGI_10003169	950	779	574	1217	525	346
CGI_10003170	278	208	155	429	213	160
CGI_10003171	99	25	13	163	50	79
CGI_10003172	125	137	114	139	63	28
CGI_10003173	98	49	28	80	23	9
CGI_10003174	371	260	189	491	129	135
CGI_10003175	126	25	9	381	127	12
CGI_10003176	30	18	11	59	40	18
CGI_10003177	83	43	2	342	112	0
CGI_10003178	0	0	2	1	1	0
CGI_10003179	0	0	0	6	4	1
CGI_10003180	1	2	4	11	19	11
CGI_10003181	22	37	7	4	1	0
CGI_10003182	944	257	998	875	228	480
CGI_10003183	23	8	25	33	24	36
CGI_10003184	272	97	127	602	231	181
CGI_10003185	21	15	41	13	3	9
CGI_10003186	92	46	88	41	32	31
CGI_10003187	46	15	35	36	11	51
CGI_10003188	10	37	13	9	9	3
CGI_10003189	1	5	0	1	3	1
CGI_10003190	188	207	115	101	41	40
CGI_10003191	2142	1270	1779	1160	176	85
CGI_10003192	20	19	15	16	10	9
CGI_10003193	733	465	231	65	73	35
CGI_10003194	11	6	12	24	9	9
CGI_10003195	2751	3390	774	1257	524	826
CGI_10003196	3140	1976	1557	2112	1055	1254
CGI_10003197	66	50	59	49	30	17
CGI_10003198	84	28	37	81	13	18
CGI_10003199	32	1	14	15	7	5
CGI_10003200	129	56	46	147	43	36
CGI_10003201	428	347	377	375	232	162
CGI_10003202	58	58	52	55	66	64
CGI_10003203	52	25	9	17	4	3
CGI_10003204	1	0	2	0	0	0
CGI_10003205	167	85	69	336	89	81
CGI_10003206	33	6	6	40	12	3
CGI_10003207	521	491	255	589	554	221
CGI_10003208	39	36	25	33	16	6
CGI_10003209	115	130	69	101	32	38
CGI_10003210	42	41	26	26	17	15
CGI_10003211	161	65	70	128	18	17
CGI_10003212	212	139	92	258	173	23
CGI_10003213	95	39	90	53	28	9
CGI_10003214	25	7	43	36	13	44
CGI_10003215	1877	1265	107	1475	594	70
CGI_10003216	6	0	14	3	1	7
CGI_10003217	0	0	0	0	0	0
CGI_10003218	39	30	2	21	3	0
CGI_10003219	46	18	18	29	6	14
CGI_10003220	178	80	16	193	43	13
CGI_10003221	16	9	21	20	4	10
CGI_10003222	20	7	6	9	2	9
CGI_10003223	259	114	108	95	17	63
CGI_10003224	4771	2313	1374	1741	1025	1290
CGI_10003225	29	10	12	69	19	13
CGI_10003226	1	0	0	1	4	1
CGI_10003227	0	0	0	1	0	0
CGI_10003229	0	0	0	0	0	0
CGI_10003231	121	117	69	198	99	54
CGI_10003232	0	2	0	0	1	0
CGI_10003233	116	64	26	322	56	41
CGI_10003234	484	421	303	461	374	188
