Feature ID	2M-Total	4M-Total	6m-Total	2M-HS-Total	4M-HS-Total	6M-HS-Total
CGI_10000167	140	44	20	6	0	3
CGI_10000168	1323	836	306	334	41	37
CGI_10000169	0	1	1	1	0	0
CGI_10000170	12	4	5	34	21	22
CGI_10000171	32	17	18	52	21	33
CGI_10000172	0	0	0	0	0	0
CGI_10000173	1	0	0	3	0	0
CGI_10000174	77	23	63	28	21	31
CGI_10000175	35	15	14	27	7	2
CGI_10000176	0	1	1	1	0	0
CGI_10000178	0	0	0	0	0	0
CGI_10000180	2	4	0	0	0	0
CGI_10000181	0	2	0	0	2	0
CGI_10000183	13	7	6	38	12	27
CGI_10000184	1	0	1	27	12	74
CGI_10000185	3	0	0	33	52	196
CGI_10000186	258	7	59	19	160	54
CGI_10000187	48	52	77	103	137	80
CGI_10000188	1	2	3	0	1	3
CGI_10000189	0	0	1	1	0	1
CGI_10000190	10	1	9	3	2	6
CGI_10000191	27	13	11	36	23	20
CGI_10000192	130	32	98	123	50	90
CGI_10000194	9694	8444	12974	5879	9038	10563
CGI_10000195	57	37	20	43	9	4
CGI_10000196	12	4	8	9	7	7
CGI_10000197	8	6	4	4	5	1
CGI_10000198	4	7	9	12	19	35
CGI_10000199	78	124	22	71	26	8
CGI_10000200	3	1	5	0	0	1
CGI_10000201	0	0	0	0	0	0
CGI_10000202	0	0	0	0	0	0
CGI_10000203	89	75	122	327	354	473
CGI_10000204	227	195	339	700	691	1727
CGI_10000205	125	82	152	181	244	759
CGI_10000206	7	14	9	2	7	5
CGI_10000207	106	68	174	185	240	718
CGI_10000208	190	163	202	441	332	1166
CGI_10000209	20	8	10	12	0	0
CGI_10000210	1	1	2	5	0	0
CGI_10000211	27	17	10	76	15	2
CGI_10000212	1	1	3	1	1	6
CGI_10000213	43	13	4	74	42	21
CGI_10000214	0	0	1	0	0	0
CGI_10000215	24	29	20	86	61	42
CGI_10000216	0	3	2	0	0	7
CGI_10000217	26	5	25	13	24	8
CGI_10000218	38	21	26	3	3	1
CGI_10000219	12	15	15	10	2	6
CGI_10000220	2	2	4	4	1	2
CGI_10000222	0	0	0	0	0	0
CGI_10000223	8	13	2	5	3	3
CGI_10000224	12	3	3	3	6	3
CGI_10000225	63	22	10	44	8	0
CGI_10000226	24	37	12	80	35	19
CGI_10000227	0	1	0	1	1	0
CGI_10000228	1	2	1	0	0	0
CGI_10000229	312	207	161	324	126	135
CGI_10000231	3	6	1	6	1	3
CGI_10000232	347	133	159	154	20	70
CGI_10000235	104	15	28	78	21	20
CGI_10000236	33	42	6	44	15	13
CGI_10000237	1240	631	913	1331	181	364
CGI_10000238	87	100	127	354	361	508
CGI_10000239	139	89	151	209	255	717
CGI_10000240	5	1	3	13	2	1
CGI_10000241	213	388	160	196	190	101
CGI_10000242	68	18	17	53	21	16
CGI_10000243	0	0	1	0	0	0
CGI_10000244	76	31	45	100	17	43
CGI_10000245	0	0	0	0	0	1
CGI_10000246	96	98	59	68	22	5
CGI_10000247	0	0	0	0	0	0
CGI_10000248	1	0	1	0	2	0
CGI_10000249	0	0	0	0	0	0
CGI_10000253	201	188	253	726	748	1242
CGI_10000254	41	33	58	146	129	247
CGI_10000256	0	0	0	0	0	0
CGI_10000257	0	0	0	0	0	0
CGI_10000258	104	97	44	65	23	6
CGI_10000259	26	29	23	71	19	7
CGI_10000260	0	0	0	0	0	0
CGI_10000261	49	22	22	51	41	23
CGI_10000262	16	6	6	15	7	8
CGI_10000263	350	350	223	385	163	115
CGI_10000264	1	19	1	3	47	4
CGI_10000265	538	904	356	1272	1419	62
CGI_10000266	1	59	42	2	57	40
CGI_10000267	22	10	12	27	12	0
CGI_10000268	1	3	8	0	0	1
CGI_10000269	1	0	0	2	0	0
CGI_10000270	3	1	0	1	4	0
CGI_10000271	34	0	29	8	0	3
CGI_10000272	1075	766	1008	394	147	163
CGI_10000273	2	4	2	4	3	3
CGI_10000274	0	0	3	1	2	0
CGI_10000275	34	0	7	25	0	2
CGI_10000276	254	223	151	294	324	93
CGI_10000279	10	44	33	46	64	48
CGI_10000280	11	14	34	38	19	7
CGI_10000281	244	178	135	434	228	149
CGI_10000282	70	80	49	110	13	10
CGI_10000283	0	0	0	1	2	0
CGI_10000284	60	36	50	36	11	4
CGI_10000285	52	21	11	85	41	46
CGI_10000286	275	424	432	148	27	8
CGI_10000287	0	5	0	0	2	0
CGI_10000289	297	94	101	361	57	85
CGI_10000290	3	0	8	12	2	13
CGI_10000291	26	7	10	30	9	1
CGI_10000292	22	6	13	9	3	5
CGI_10000293	282	526	241	101	94	35
CGI_10000294	59	32	81	26	15	61
CGI_10000295	41	39	47	19	38	40
CGI_10000296	0	0	37	2	0	20
CGI_10000297	1	1	2	1	4	0
CGI_10000298	2	0	0	6	0	0
CGI_10000299	1	0	0	1	0	0
CGI_10000300	577	260	224	35	41	59
CGI_10000301	50	62	44	84	48	29
CGI_10000302	44	23	33	31	7	10
CGI_10000303	2	0	0	0	0	0
CGI_10000304	737	855	616	428	290	145
CGI_10000305	20	24	5	27	8	24
CGI_10000306	0	0	1	1	0	4
CGI_10000307	52	35	51	68	63	60
CGI_10000308	2	2	1	7	0	0
CGI_10000309	35	19	10	44	13	8
CGI_10000310	246	72	74	154	17	7
CGI_10000311	12	1	1	28	0	1
CGI_10000312	0	0	0	0	0	0
CGI_10000313	77	22	32	88	29	44
CGI_10000314	12	5	5	8	2	2
CGI_10000315	4	8	1	10	4	2
CGI_10000316	8	2	14	6	1	2
CGI_10000317	54	62	34	41	25	14
CGI_10000318	3	7	2	5	0	1
CGI_10000319	0	0	1	0	1	0
CGI_10000320	8	3	9	1	1	1
CGI_10000321	1013	1373	937	329	87	47
CGI_10000322	26	30	41	16	21	26
CGI_10000323	1	0	1	2	1	1
CGI_10000324	0	0	0	0	0	0
CGI_10000325	20	10	19	11	3	3
CGI_10000326	3	8	2	3	0	0
CGI_10000327	12	9	3	17	1	1
CGI_10000328	5	5	2	0	5	2
CGI_10000329	42	10	16	34	6	4
CGI_10000330	5	2	1	5	0	2
CGI_10000331	0	0	0	0	0	0
CGI_10000332	3	0	3	4	0	0
CGI_10000333	96	56	71	95	67	106
CGI_10000334	400	635	535	247	127	75
CGI_10000335	1	1	5	2	1	6
CGI_10000336	226	84	67	189	43	39
CGI_10000337	815	685	565	1035	355	284
CGI_10000338	708	600	377	647	435	435
CGI_10000339	51	35	37	87	41	54
CGI_10000340	66	72	64	84	96	61
CGI_10000341	10	10	13	26	12	15
CGI_10000342	0	1	6	3	4	1
CGI_10000343	3	2	3	0	4	4
CGI_10000347	31	31	31	29	25	11
CGI_10000348	17	9	6	56	30	16
CGI_10000349	90	92	91	114	52	32
CGI_10000350	312	269	149	320	134	111
CGI_10000353	11	3	15	9	4	3
CGI_10000354	34	0	12	20	2	0
CGI_10000355	57	18	62	47	46	32
CGI_10000356	51	34	38	50	22	11
CGI_10000357	4	6	0	1	10	2
CGI_10000358	37	17	14	66	4	13
CGI_10000359	2	7	0	14	1	1
CGI_10000360	49	26	31	50	23	22
CGI_10000361	0	0	0	0	0	0
CGI_10000362	77	39	104	197	46	84
CGI_10000364	37	113	77	66	78	319
CGI_10000365	0	0	0	0	1	0
CGI_10000366	3	1	3	6	0	3
CGI_10000367	3	2	1	9	9	0
CGI_10000368	1	1	1	0	1	1
CGI_10000369	26	29	11	24	9	5
CGI_10000370	6	4	1	29	1	2
CGI_10000371	17	25	6	10	3	1
CGI_10000372	113	36	236	80	28	188
CGI_10000373	1	0	0	0	0	0
CGI_10000374	1272	734	634	1510	477	511
