baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Column7
CGI_10000009,736.886209915701,-4.21432325410347,0.33184962151168,-12.699496943543,5.95110068801535E-37,1.14142111196134E-32
CGI_10000010,769.143993189777,-2.31835510331565,0.48549761804067,-4.77521416618246,1.79516103499725E-06,6.20381777499952E-05
CGI_10000014,2158.70151550375,-3.44036574005674,0.533985309814461,-6.44280971184794,1.17281705688636E-10,1.46069033448574E-08
CGI_10000031,31.0157398867365,-2.20017300165842,0.482957891985687,-4.55562076563732,5.22310964809086E-06,0.000147106083774424
CGI_10000034,24.843960742004,1.53915782883132,0.441859597134538,3.48336403421532,0.000495154564607918,0.00558650855834109
CGI_10000038,442.280996156497,3.14918985753354,0.338917839876778,9.29189758402362,1.51561727565128E-20,1.32134269759053E-17
CGI_10000039,64.2870261580259,-1.57000115908618,0.522859278118982,-3.0027221946493,0.00267576564171524,0.0197237451991154
CGI_10000044,99.323294499693,-0.983269769106292,0.303833988964608,-3.23620728693665,0.00121129387452765,0.0109381433679098
CGI_10000052,141.474372787837,1.44028645476959,0.543464288579468,2.65019521068123,0.0080445274939067,0.044439526881662
CGI_10000074,20.1239156349667,-1.34943556362678,0.492793045664412,-2.73834132908145,0.00617499498176272,0.0366562685701668
CGI_10000079,751.436825676061,-2.29077581685735,0.481480239525821,-4.75777743052007,1.95736141153268E-06,6.71160951388077E-05
CGI_10000104,757.140683054827,-2.37513959656293,0.485945472428879,-4.88766689129004,1.02037987082285E-06,3.89858285306419E-05
CGI_10000105,309.700067775698,-2.16550907294929,0.466030777284287,-4.64670828302031,3.37273581703421E-06,0.000105014728848565
CGI_10000118,7619.75486803633,-1.73180438528597,0.52338904001831,-3.30882814287702,0.000936873256862172,0.00902522805957632
CGI_10000142,757.167730237443,-2.30011539983525,0.479458290730047,-4.79732115244681,1.60801674822691E-06,5.65903875798022E-05
CGI_10000143,211.794879782682,-2.28843129085576,0.53942509332639,-4.242352310205,2.21189099213704E-05,0.000482601808338573
CGI_10000144,533.125486876439,2.75354847377467,0.455651299010453,6.04310462793501,1.51176547101564E-09,1.3612986729615E-07
CGI_10000151,758.437058631885,-2.34418129142794,0.487273664701012,-4.81081055933181,1.5031944072639E-06,5.39911399462953E-05
CGI_10000152,16029.3797478109,-2.52293601530087,0.477235456882595,-5.28656448073082,1.24634896111747E-07,6.58539203146918E-06
CGI_10000154,426.198378730669,-1.5292365534031,0.548472736178246,-2.78817241502067,0.00530063250764815,0.0329656716915342
CGI_10000155,1155.43879036259,-2.20101105669683,0.43415350095747,-5.06966096517196,3.98524968895255E-07,1.77760672172348E-05
CGI_10000156,121.117119324957,-0.759931833686753,0.286406327274701,-2.65333465541031,0.00797008077256335,0.0441299506979691
CGI_10000165,57.1222916261774,1.48889641186341,0.350430831946874,4.24875974408874,2.14957306708155E-05,0.000471725531197072
CGI_10000166,72.0939115320227,2.0269928731178,0.472196836402071,4.29268626313251,1.76524355150745E-05,0.000404938249564654
CGI_10000167,26.2498737097297,2.39222045079928,0.567429709794029,4.21588861053404,2.48796550542925E-05,0.000530213093268144
CGI_10000168,368.509348546243,1.80961296910094,0.505459592670151,3.58013379376468,0.000343418323614967,0.0042616537724902
CGI_10000170,18.25136647664,-1.94424213503251,0.487773271743707,-3.98595463847819,6.72093522201099E-05,0.00118372394451947
CGI_10000183,18.9133672230785,-1.65381864433273,0.50317602474747,-3.28675962882519,0.00101347301679519,0.00956144243095514
CGI_10000187,92.8885292370538,-1.20723598408534,0.449271963696583,-2.68709396898991,0.00720766724899904,0.0409609060254227
CGI_10000198,19.581496273046,-1.60318118900052,0.568030993935379,-2.82234808684208,0.00476734019957667,0.0303632638072998
CGI_10000203,306.653792440567,-2.2051609011731,0.471701881003199,-4.67490376863293,2.94091488248113E-06,9.35435281027994E-05
CGI_10000204,887.830813429093,-2.09306791557994,0.525974807300413,-3.97940716271696,6.90873317673199E-05,0.0012079261834979
CGI_10000207,351.019471656495,-1.7394613023581,0.558243557264688,-3.11595410232982,0.00183350807603288,0.0148822195930219
CGI_10000208,569.253259177864,-1.93699075731836,0.531943049400171,-3.64134987665042,0.00027121225798401,0.00355075160964731
CGI_10000215,46.751753047612,-1.68927820801104,0.372950652570576,-4.52949524653631,5.91247644086957E-06,0.000162932899620515
CGI_10000218,12.5470483958353,2.17457255095278,0.526083491652696,4.13351223799353,3.57261263285209E-05,0.000718267403544057
CGI_10000238,326.404102623063,-2.16538455752794,0.469590830546639,-4.61121558742377,4.00321095918651E-06,0.000119411487087399
CGI_10000253,733.241918951578,-2.26614896037325,0.480465167889093,-4.71657283779695,2.39850525079765E-06,7.95905375610707E-05
CGI_10000254,142.218293618216,-2.10188018455201,0.501802630804413,-4.18865915705264,2.80607480593946E-05,0.000589490851893963
CGI_10000272,513.792360054532,1.45229546583762,0.310402556528174,4.67874840362599,2.88631347782844E-06,9.21123003406813E-05
CGI_10000281,221.107640822719,-0.974387221746002,0.251394349270755,-3.87593127917357,0.000106217661493855,0.00170196720756235
CGI_10000285,43.8632523453153,-1.3649003129253,0.456384736037561,-2.99067914666841,0.00278357799631409,0.0203154588924293
CGI_10000286,183.049885175931,1.94455924281212,0.513310098077784,3.78827389154042,0.000151697563519912,0.00224329935876014
CGI_10000293,186.164813949828,1.43605252485976,0.425591486655022,3.37425105973467,0.000740168285192831,0.0075795129257867
CGI_10000300,166.825532252415,1.66117117788036,0.479806609838054,3.46216818155349,0.000535842200672934,0.00592019205582193
